fishing_number,previous_companies,blacklisted_in,previous_callsign,name,links,owner_company,mmsi,url,system,imo,previous_flags,previous_names,source,flag,callsign,notes,date,vessel_length,controller_region,class
04CT01056,,"Greenpeace
Reason for blacklisting: ICCAT Recommendation [03-04] relating to Mediterranean swordfish prohibits the use of driftnets for fisheries of large pelagics in the Mediterranean Sea. It is the responsibility of all ICCAT Contracting Parties to enforce this Recommendation and adopt a specific
management plan in order to protect the stock of swordfish in the Mediterranean Sea and sustain this fishery. This continued illegal activity should have come to an end when the European Union banned the use of driftnets for catching a wide range of pelagic fishes. EC Regulation EC/1239/98, that entered into force on January 2002.
Source of IUU information: Vessel observed during Greenpeace Mediterranean Rainbow Warrior tour 2006",,Maria Grazia Genovese,,,,http://blacklist.greenpeace.org/1/vessel/show/165-maria-grazia-genovese,,,,,GreenpeaceBlacklist,Afghanistan,,"From 17 June to 15 July 2006, Greenpeace documented the activities of the Italian driftnet fleet targeting swordfish in the Thyrrenian and Ionian Seas. Five Italian vessels were found to be fishing for swordfish using driftnets. These data was presented to the 20th Regular Meeting of the ICCAT Commission in Antalya, November 2007. The information was not contested neither we know of any action taken against these vessels.",2006-06-29,18.7,Italy,Driftnetter
,,"Greenpeace
Reason for blacklisting: Illegal Fishing in Howard & Baker EEZ
Source of IUU information: http://www.ffa.int/mcs/",,Marshall's 201,,,538060004.0,http://blacklist.greenpeace.org/1/vessel/show/24-marshalls-201,,9206982.0,Vanuatu,Koo's 106,GreenpeaceBlacklist,Marshall Islands,V7CN4,The vessel was seized for illegally fishing inside the U.S. Exclusive Economic Zone in the South Pacific Ocean. THE U.S. District Court of Guam denied the owners of the Marshalls 201 fishing vessel the motion to dismiss the case and the motion for summary judgment.,2006-01-01,,Taiwan,Purse Seiner
,,"Greenpeace
Reason for blacklisting: Fishing inside Division 58.5.2 Apprehended
Source of IUU information: CCAMLR",,Maya V,,Jose Manuel Salgueiro,,http://blacklist.greenpeace.org/1/vessel/show/108-maya-v,,8882818,Uruguay,The Fisher,GreenpeaceBlacklist,Panama,,"Lloyd's reported the vessel as sold to undisclosed InterestThe apprehension of the Maya V The Maya V was apprehended in January 2004 by HMAS Warrumunga after she was detected allegedly operating illegally within Australia's HIMI EEZ.The Maya V was escorted to Fremantle, where the vessel was later forfeited to the Commonwealth. Legal proceedings relating to the Maya V resulted in all 40 crew members being fined and given good behaviour bonds.Serious accusations were aired in the Montevideo press against the Uruguayan Fisheries Departmentobserver of the longliner ""Maya V"", apprehended by the Australian Navy for allegedly illegally fishing.According to an article published in a Montevideo daily, Uruguayan crewmembers interviewed by phone fromMontevideo claim that DINARA´s observer aboard the ""Maya V"" was well aware of whatwas going on onboard",2003-01-01,54.8,,Longline
,,"Greenpeace
Reason for blacklisting: Illegal fishing inside Sierra Leone inshore zone
Source of IUU information: http://www.lloydslistintelligence.com/llint/vessels/overview.htm?vesselId=334542&channel;=home

http://ejfoundation.org/sites/default/files/public/Pirate%20Fishing%20Exposed.pdf

https://webgate.ec.europa.eu/sanco/traces/output/KR/FFP_KR_fr.pdf

http://www.ropes.co.kr/Dongyang_fisheries_homepage/e-company-2.asp",,Medra,,Dong Yang Fisheries Company Limited,,http://blacklist.greenpeace.org/1/vessel/show/224-medra,,8837526,,Ryuho Maru No.31,GreenpeaceBlacklist,"Korea, Republic of",,"Between January and March 2011, EJF documented four vessels fishing illegally in the inshore areas near Sherbro Island in Sierra Leone: Medra, Marcia 707, 515 Amapola and Seta 70. All of the vessels are Korean-flagged and accredited to export their fish to the EU, though Medra has also been listed as flagged to Honduras. The vessels were responsible for causing extensive damage to local fishing equipment in the IEZ.",1987-01-02,50.73,"Korea, Republic of",Stern Trawler
,,"Greenpeace
Reason for blacklisting: Illegal transhipment to Reefer Senta without WCPFC vessel registration
Source of IUU information: WCPFC TTC5 Oct 2009",,Minako,,Harini Nalendra,,http://blacklist.greenpeace.org/1/vessel/show/202-minako,,,,,GreenpeaceBlacklist,Indonesia,YHVB,"French Polynesia on 12 October 2008. During inspection, one of the fish holds was found to contain fish harvested from the WCPFC Convention Area by the fishing vessel Minako, which is not listed on the WCPFC RFV.",2010-08-17,,Indonesia,Longline
MO801,,"Greenpeace
Reason for blacklisting: ICCAT Recommendation [03-04] relating to Mediterranean swordfish prohibits the use of driftnets for fisheries of large pelagics in the Mediterranean Sea. It is the responsibility of all ICCAT Contracting Parties to enforce this Recommendation and adopt a specific
management plan in order to protect the stock of swordfish in the Mediterranean Sea and sustain this fishery. This continued illegal activity should have come to an end when the European Union banned the use of driftnets for catching a wide range of pelagic fishes. EC Regulation EC/1239/98, that entered into force on January 2002.
Source of IUU information: Vessel observed during Greenpeace Mediterranean Rainbow Warrior tour 2007",,Molka,,,,http://blacklist.greenpeace.org/1/vessel/show/172-molka,,,,,GreenpeaceBlacklist,Tunisia,,"On the morning of 20 June 2007, a dozen vessels were spotted from the Rainbow Warrior, among them six Tunisian driftnet vessels which were identified as fishing on the high seas.",2007-06-20,,Tunisia,Driftnetter
M-0602,,"Greenpeace
Reason for blacklisting: Transhipped and offloaded unreported catches
Source of IUU information: http://oceans.greenpeace.org/en/documents-reports/mumrinskiy-jan-2007
Norway
Reason for blacklisting: 
Source of IUU information:",,Mumrinskiy,http://www.fiskeridir.no/fiskeridir/fi skeri/iuu_liste  Official Norway IUU list,AVS Co Ltd,273211210.0,http://blacklist.greenpeace.org/1/vessel/show/19-mumrinskiy,,8729509.0,,,GreenpeaceBlacklist,Russian Federation,UIPA,"June 2006: At least 321 tonnes of unreported codThe Mumrinskiy called in Eemshaven 21. June 2006. Based on information from Dutch Customs, she carried fish from 5 trawling vessels; the Santa, Solombala, Ponoy, Kronshtadt, and Yaroslavets.July 2006: At least 462 tonnes of unreported cod",1989-01-01,85.1,Russian Federation,Reefer
273319670,,"Greenpeace
Reason for blacklisting: Illegal fishing Irminger Sea
Source of IUU information: http://www.neafc.org/reports/peccoe/oct06/docs/2006-02-16_iuu-activities-2006.pdf",,Nicolay Chudotvorets,,,,http://blacklist.greenpeace.org/1/vessel/show/146-nicolay-chudotvorets,,8421937,Honduras,Santa Nikolas I,GreenpeaceBlacklist,Russian Federation,UDIB,"On 18 September the Norwegian authorities informed the Secretariat that the IUU A listed vessel, SANTA NICHOLAS 1 flagged in Honduras, arrived in the port of Kristiansund on Sunday 17 September. On arrival the vessel was inspected by inspectors from the Directorate of Fisheries. A Report of the inspection was attached to the communication. It was documented that the vessel has been fishing redfish on the high seas in the North East Atlantic this summer under the flag of Honduras. The Captain informed that, on 13 September 2006, a fishing vessel from the same company, the “PAVLOVSK” had an operation together with “SANTA NICHOLAS 1”. “PAVLOVSK” was to bring a damaged trawl to Rostock in Germany for “SANTA NICOLAS 1”. This operation took place in international waters. It is also documented that the vessel was about to change flag to Russia. A transfer of the ownership was to take place in Kristiansund along with repairs.",2005-06-30,62.2,Russian Federation,Trawler
1202618,,"Greenpeace
Reason for blacklisting: Setting their purse seine net on whales, which is a violation of the Marine Mammal Protection Act, and ten counts of setting on or within one nautical mile of a FAD and two counts of deploying FADs during the 2009 FAD closure in violation of the WCPFCIA.
Source of IUU information: https://intra.wcpfc.int/Lists/Vessels/DispForm.aspx?ID=8772
http://www.fisheries.noaa.gov/ole/newsroom/stories/13/04_090413_purse_seine_fad_case.html",,Ocean Conquest,,,367767000,http://blacklist.greenpeace.org/1/vessel/show/238-ocean-conquest,,,,,GreenpeaceBlacklist,United States,WDD8838,"The fishing vessels Ocean Encounter, Ocean Conquest, Sea Honor, Sea Quest and Pacific Ranger, the owners, operators and fishing masters were charged with five counts of setting their purse seine net on whales, which is a violation of the Marine Mammal Protection Act, and ten counts of setting on or within one nautical mile of a FAD and two counts of deploying FADs during the 2009 FAD closure in violation of the WCPFCIA. In its decision issued August 23, the Court found all seventeen counts proven and assessed a civil penalty of $953,054. ",2007-01-17,69.7,United States,Purse Seiner
1202619,,"Greenpeace
Reason for blacklisting: Setting a purse seine net on whales, which is a violation of the Marine Mammal Protection Act, and ten counts of setting on or within one nautical mile of a FAD and two counts of deploying FADs during the 2009 FAD closure in violation of the WCPFCIA.
Source of IUU information: https://intra.wcpfc.int/Lists/Vessels/DispForm.aspx?ID=8773

http://www.fisheries.noaa.gov/ole/newsroom/stories/13/04_090413_purse_seine_fad_case.html",,Ocean Encounter,,OCEAN ENCOUNTER LLC,367170000,http://blacklist.greenpeace.org/1/vessel/show/237-ocean-encounter,,,,,GreenpeaceBlacklist,United States,WDD9182,"The fishing vessels Ocean Encounter, Ocean Conquest, Sea Honor, Sea Quest and Pacific Ranger, the owners, operators and fishing masters were charged with five counts of setting their purse seine net on whales, which is a violation of the Marine Mammal Protection Act, and ten counts of setting on or within one nautical mile of a FAD and two counts of deploying FADs during the 2009 FAD closure in violation of the WCPFCIA. In its decision issued August 23, the Court found all seventeen counts proven and assessed a civil penalty of $953,054. ",2002-01-17,69,United States,Purse Seiner
05RC01076,,"Greenpeace
Reason for blacklisting: ICCAT Recommendation [03-04] relating to Mediterranean swordfish prohibits the use of driftnets for fisheries of large pelagics in the Mediterranean Sea. It is the responsibility of all ICCAT Contracting Parties to enforce this Recommendation and adopt a specific
management plan in order to protect the stock of swordfish in the Mediterranean Sea and sustain this fishery. This continued illegal activity should have come to an end when the European Union banned the use of driftnets for catching a wide range of pelagic fishes. EC Regulation EC/1239/98, that entered into force on January 2002.
Source of IUU information: Vessel was observed during Greenpeace Mediterranean Rainbow Warrior tour 2006",,Odissea,,,,http://blacklist.greenpeace.org/1/vessel/show/164-odissea,,,,,GreenpeaceBlacklist,Italy,,"From 17 June to 15 July 2006, Greenpeace documented the activities of the Italian driftnet fleet targeting swordfish in the Thyrrenian and Ionian Seas. Five Italian vessels were found to be fishing for swordfish using driftnets. These data was presented to the 20th Regular Meeting of the ICCAT Commission in Antalya, November 2007. The information was not contested neither we know of any action taken against these vessels.",2006-06-25,17.5,Italy,Driftnetter
M-0008,,"Greenpeace
Reason for blacklisting: Fishing in an unauthorised zone",,Oleg Naydenov,,Murmansk Trawl Fleet Co,'273526800,http://blacklist.greenpeace.org/1/vessel/show/214-oleg-naydenov,,'8607309,,Leonid Galchenko,GreenpeaceBlacklist,Russian Federation,UCUC,"On 26 February, 2012, Greenpeace submitted information to the European Commission about the illegal fishing activities of the Russian-flagged Oleg Naydenov Greenpeace documented this vessel fishing without valid authorisation in Gambian and Senegalese waters, concealing its identity and fishing in a closed zone. On Dec 23, 2013 Oleg Naydenov was spotted by a French navy plane fishing illegal in the joint Senegal-Guinea Bissau zone with another Russian trawler Kapitan Bogomolov. The vessel was arrested by Senegal and brought Dakar. She was released after posting a bond of US $832,000 and a bond of US $416,000 for Kapitan Bogomolov",2005-06-30,120.5,Russian Federation,Factory Stern Trawler
14ME00619,,"Greenpeace
Reason for blacklisting: ICCAT Recommendation [03-04] relating to Mediterranean swordfish prohibits the use of driftnets for fisheries of large pelagics in the Mediterranean Sea. It is the responsibility of all ICCAT Contracting Parties to enforce this Recommendation and adopt a specific
management plan in order to protect the stock of swordfish in the Mediterranean Sea and sustain this fishery. This continued illegal activity should have come to an end when the European Union banned the use of driftnets for catching a wide range of pelagic fishes. EC Regulation EC/1239/98, that entered into force on January 2002.
Source of IUU information: Vessel observed during Greenpeace Mediterranean Rainbow Warrior tour 2006",,Orsa Maggiore,,,,http://blacklist.greenpeace.org/1/vessel/show/166-orsa-maggiore,,,,,GreenpeaceBlacklist,Italy,,"From 17 June to 15 July 2006, Greenpeace documented the activities of the Italian driftnet fleet targeting swordfish in the Thyrrenian and Ionian Seas. Five Italian vessels were found to be fishing for swordfish using driftnets. These data was presented to the 20th Regular Meeting of the ICCAT Commission in Antalya, November 2007. The information was not contested neither we know of any action taken against these vessels.",2006-06-29,11.7,Italy,Driftnetter
,,"Greenpeace
Reason for blacklisting: According to the FAO, “Unreported fishing refers to fishing activities:",,Oryong 316,,,344041810.0,http://blacklist.greenpeace.org/1/vessel/show/9-oryong-316,,9042037,,,GreenpeaceBlacklist,"Korea, Republic of",6MBQ,"Korean Longliner - boarded 9th October 2006, Kiribati EEZ: This vessel had been out at sea for 18 months, and had refuelled 9 times without entering into any port, she had been reporting inconsistently. As with the Dong Won 117, the vessel’s hold was remarkably empty, with a total reported catch of 200 tons, for 18 months. Its total holding capacity is 380 tons. Chats with crewmembers suggested that the vessel had in fact entered PNG waters. The Oryong 316’s exact route of over the past 18 months has not yet been verified. For more information see:http://www.greenpeace.org/raw/content/international/pr ess/reports/plundering-pacific.p df",1990-01-01,53.3,"Korea, Republic of",Longline
,,"Greenpeace
Reason for blacklisting: New Zealand Fisheries Act 1996 for misreporting and illegal dumping of fish
Source of IUU information: http://www.lloydslistintelligence.com/llint/vessels/overview.htm?vesselId=221323&channel;=home

http://www.fish.govt.nz/en-nz/Press/Crew+of+Oyang+75+sentenced.htm",,Oyang no.75,,Sajo Oyang Corporation,224005000,http://blacklist.greenpeace.org/1/vessel/show/226-oyang-no75,,8801175,Spain,Garoya Segundo,GreenpeaceBlacklist,"Korea, Republic of",DTBY8,"Four Korean crew of the fishing vessel, Oyang 75, were sentenced by Judge Saunders in the Christchurch District Court on 21 September 2012.The Judge sentenced each man according to their culpability in the offending. Captain Chong Pil Yun received the highest level fines totalling $208, 500, Minsu Park the Chief Officer was fined a total of $121,000, Wongeun Kang the Deck Bosun was fined $60,000, and Jun Cheol Lee the Radio Operator was fined $35,000. The Factory Manager was convicted and sentenced at a later date. The offending took place between March 2011 and June 2011. The Ministry for Primary Industries",2010-12-01,68.2,"Korea, Republic of",Trawler
1214248,,"Greenpeace
Reason for blacklisting: Setting their purse seine net on whales, which is a violation of the Marine Mammal Protection Act, and ten counts of setting on or within one nautical mile of a FAD and two counts of deploying FADs during the 2009 FAD closure in violation of the WCPFCIA.

Source of IUU information: https://intra.wcpfc.int/Lists/Vessels/DispForm.aspx?ID=4612
http://www.fisheries.noaa.gov/ole/newsroom/stories/13/04_090413_purse_seine_fad_case.html",,Pacific Ranger,,PACIFIC RANGER LLC,366270000 ,http://blacklist.greenpeace.org/1/vessel/show/240-pacific-ranger,,,,,GreenpeaceBlacklist,United States,WDE5730,"The fishing vessels Ocean Encounter, Ocean Conquest, Sea Honor, Sea Quest and Pacific Ranger, the owners, operators and fishing masters were charged with five counts of setting their purse seine net on whales, which is a violation of the Marine Mammal Protection Act, and ten counts of setting on or within one nautical mile of a FAD and two counts of deploying FADs during the 2009 FAD closure in violation of the WCPFCIA. In its decision issued August 23, the Court found all seventeen counts proven and assessed a civil penalty of $953,054. ",2008-01-17,69.7,United States,Purse Seiner
,,"Greenpeace
Reason for blacklisting: Friday, May 12th 2006 - 64 ships fishing for redfish on the Reykjanes Ridge of the North Atlantic immediately adjacent to the Icelandic Exclusive Economic Zone. Eight were pirate vessels on the NEAFC blacklist. In this Greenpeace picture you can see how the trawlers, with the well-known pirate vessel EVA in front, are lined up. The other blacklisted vessels in the area were the Rosita, Isabella, Juanita, Carmen, Dolphin, Pavlovsk and Ulla.
Source of IUU information: http://www.greenpeace.org/raw/content/international/ press/reports/caught-red-handed.pdf http://www.greenpeace.de/fileadmin/gpd/user_upload/ themen/meere/NAFO-Case-Study.pdf",,Pavlovsk,,Nor Russ Trading AS,,http://blacklist.greenpeace.org/1/vessel/show/147-pavlovsk,,8326319,Georgia,Oblukovina,GreenpeaceBlacklist,Panama,3EQB,"Pavlovsk was converted to a Seismic Survey vessel in Cochin India by December 2008She is owned by Singapore based Nordic Maritime Pte Ltd",2006-01-01,62.2,Norway,Trawler
,,"Greenpeace
Reason for blacklisting: Illegal Transhipment with IUU Trawler Carmen
Source of IUU information: http://www.un.org/depts/los/general_assembly/ documents/oceans_los_advance_unedited.pdf",,Polestar,,Hayama Senpaku KK,352828000.0,http://blacklist.greenpeace.org/1/vessel/show/148-polestar,,8914221.0,,,GreenpeaceBlacklist,Panama,3EWP7,The inclusion of the Polestar reefer on NEAFC’s B-list,1990-01-01,120.2,Japan,Reefer
MB-0399,,"Greenpeace
Reason for blacklisting: Unreported catch
Source of IUU information: http://oceans.greenpeace.org/en/documents-reports/mumrinskiy-jan-2007",,Ponoy,,Sever Fishing Collective,273514900.0,http://blacklist.greenpeace.org/1/vessel/show/22-ponoy,,7630165.0,USSR,Kharovsk,GreenpeaceBlacklist,Russian Federation,UAZA,"On behalf of Ponoy, the Mumrinskiy offloaded 248 tonnes of headed and gutted cod",2005-01-01,83.9,Russian Federation,Trawler
CT3-4705,,"Greenpeace
Reason for blacklisting: Illegally entering Philippine waters and for fishing using illegal gear off the Babuyan Channel in the island town of Calayan in Cagayan last Sept. 20.
Source of IUU information: http://www.illegal-fishing.info/item_single.php?item=news&item;_id=4393&approach;_id=13",,Qing Xing,,LIU RONG CAI,,http://blacklist.greenpeace.org/1/vessel/show/196-qing-xing,,,,,GreenpeaceBlacklist,Taiwan,BK6705,"Dr. Gil Adora, officer-in-charge of the BFAR central office, said the Coast Guard apprehended the Taiwanese nationals for illegally entering Philippine waters and for fishing using illegal gear off the Babuyan Channel in the island town of Calayan in Cagayan last Sept. 20.The foreigners, who were aboard the vessel TFV Qing Xing BK 6705, paid the amount as settlement of the administrative case lodged against them before the BFAR regional office led by Dr. Jovita Ayson.",2010-08-17,24,Taiwan,Longline
,,"Greenpeace
Reason for blacklisting: Longline fishing vessel carried out activities in contravention of the Convention; in particular, fishing in New Zealand waters without the permission of New Zealand authorities.",,Rong Da Yang 8,,"Weihai Changhe Fisheries Co.,Ltd",,http://blacklist.greenpeace.org/1/vessel/show/235-rong-da-yang-8,,,,,GreenpeaceBlacklist,China Mainland,BBLZ6,In April and September 2011 there were five unauthorised incursions into New Zealand’s Exclusive Economic Zone,2013-11-04,32.74,China Mainland,Longliner
,,"Greenpeace
Reason for blacklisting: Greenpeace has documented the activities of these five 

fishing trawlers since April 2005; as they fished illegally 

without quota for redfish in the Irminger Sea, over-wintered in the German port of Rostock, and then returned illegally to their old fishing grounds in the North Atlantic in 2006
Source of IUU information: http://www.greenpeace.org/raw/content/international/ press/reports/caught-red-handed.pdf",,Rosita,,,213533000.0,http://blacklist.greenpeace.org/1/vessel/show/149-rosita-broken-up,,8522169.0,Dominica,Okhotino,GreenpeaceBlacklist,Georgia,4LSL,"Where others failed, Russia acts Ending the days of plunder: halting the pirates The ""Rostock Pirates"" exposed in Lithuania The Georgian ""Trawler Girls"" - Factsheet Greenpeace stops pirate fishing vessels in European port … Rostock Update: Fifth pirate now in chains! - Ocean Defenders ...",Broken up ,62.2,Russian Federation,Trawler
MO827,,"Greenpeace
Reason for blacklisting: ICCAT Recommendation [03-04] relating to Mediterranean swordfish prohibits the use of driftnets for fisheries of large pelagics in the Mediterranean Sea. It is the responsibility of all ICCAT Contracting Parties to enforce this Recommendation and adopt a specific
management plan in order to protect the stock of swordfish in the Mediterranean Sea and sustain this fishery. This continued illegal activity should have come to an end when the European Union banned the use of driftnets for catching a wide range of pelagic fishes. EC Regulation EC/1239/98, that entered into force on January 2002.
Source of IUU information: Vessel observed during Greenpeace Mediterranean Rainbow Warrior tour 2007",,Sadik,,,,http://blacklist.greenpeace.org/1/vessel/show/173-sadik,,,,,GreenpeaceBlacklist,Tunisia,,"On the morning of 20 June 2007, a dozen vessels were spotted from the Rainbow Warrior, among them six Tunisian driftnet vessels which were identified as fishing on the high seas.",2007-06-20,,Tunisia,Driftnetter
,,"Greenpeace
Reason for blacklisting: Illegal Fishing inside Jarvis EEZ

Unregulated fishing in WCPFC region

Not on Forum Fisheries Agency vessels list of good standing
Source of IUU information: http://www.greenpeace.org/international/press/reports/ stolen-pacific-tuna",,San Andres,,Conservas Garavilla SA,735565000.0,http://blacklist.greenpeace.org/1/vessel/show/13-san-andres,,8909252.0,Cyprus,Isabel Tuna,GreenpeaceBlacklist,Ecuador,HC4154,"On 23 February, 2007, the US Coast Guard documented the Ecuador-flagged purse seiner San Andres",1998-01-01,78.0,Spain,Purse Seiner
,,"Greenpeace
Reason for blacklisting: Illegal fishing inside New Caledonia EEZ
Source of IUU information: http://www.pacificmagazine.net/news/2004/11/22/french-polynesia-taiwanese-fishing-vessel-intercepted",,San Sheng 168,,,,http://blacklist.greenpeace.org/1/vessel/show/32-san-sheng-168,,,,,GreenpeaceBlacklist,Taiwan,BJ4734,Sang Sheng 168 was caught fishing illegally in New Caledonia's Exclusive Economic Zone,,27.0,Taiwan,Longline
1210858,,"Greenpeace
Reason for blacklisting: Setting their purse seine net on whales, which is a violation of the Marine Mammal Protection Act, and ten counts of setting on or within one nautical mile of a FAD and two counts of deploying FADs during the 2009 FAD closure in violation of the WCPFCIA.
Source of IUU information: http://www.lloydslistintelligence.com/llint/vessels/overview.htm?vesselId=7326295&channel;=home
https://intra.wcpfc.int/Lists/Vessels/DispForm.aspx?ID=9058
http://www.fisheries.noaa.gov/ole/newsroom/stories/13/04_090413_purse_seine_fad_case.html",,Sea Honor,,SEA HONOR LLC,367344000,http://blacklist.greenpeace.org/1/vessel/show/239-sea-honor,,9517276,,,GreenpeaceBlacklist,United States,WDE4114,"The fishing vessels Ocean Encounter, Ocean Conquest, Sea Honor, Sea Quest and Pacific Ranger, the owners, operators and fishing masters were charged with five counts of setting their purse seine net on whales, which is a violation of the Marine Mammal Protection Act, and ten counts of setting on or within one nautical mile of a FAD and two counts of deploying FADs during the 2009 FAD closure in violation of the WCPFCIA. In its decision issued August 23, the Court found all seventeen counts proven and assessed a civil penalty of $953,054. ",2007-01-17,69,United States,Purse Seiner
1203206,,"Greenpeace
Reason for blacklisting: Setting their purse seine net on whales, which is a violation of the Marine Mammal Protection Act, and ten counts of setting on or within one nautical mile of a FAD and two counts of deploying FADs during the 2009 FAD closure in violation of the WCPFCIA.
Source of IUU information: https://intra.wcpfc.int/Lists/Vessels/DispForm.aspx?ID=8775
http://www.fisheries.noaa.gov/ole/newsroom/stories/13/04_090413_purse_seine_fad_case.html",,Sea Quest,,Sea Quest LLC,366903000,http://blacklist.greenpeace.org/1/vessel/show/241-sea-quest,,,,,GreenpeaceBlacklist,United States,WDD9174,"The fishing vessels Ocean Encounter, Ocean Conquest, Sea Honor, Sea Quest and Pacific Ranger, the owners, operators and fishing masters were charged with five counts of setting their purse seine net on whales, which is a violation of the Marine Mammal Protection Act, and ten counts of setting on or within one nautical mile of a FAD and two counts of deploying FADs during the 2009 FAD closure in violation of the WCPFCIA. In its decision issued August 23, the Court found all seventeen counts proven and assessed a civil penalty of $953,054. ",2007-01-17,69.7,United States,Purse Seiner
,,"Greenpeace
Reason for blacklisting: Undocumented transhipment with IUU listed vessel 
Chilbo San 33
Source of IUU information: CCAMLR",,Seed Leaf,,Seatrade group,538002993,http://blacklist.greenpeace.org/1/vessel/show/157-seed-leaf,,8913992,,,GreenpeaceBlacklist,Marshall Islands,V7NP5,The Republic of Korea presented information on proceedings resulting from the seizure of IUU toothfish which had been transhipped between the Panamanian-flagged cargo vessel Seed Leaf and the North Korean-flagged fishing vessel Chilbo San 33,2004-06-01,115,Norway,Reefer
,,"Greenpeace
Reason for blacklisting: 03.03.2011: Obscuring
markings, operating in IEZ with gears
at the ready, possible lack of valid
licence. July 2011: Fishing in the Sierra Leone inshore waters
and evading arrest in Liberia.
Source of IUU information: http://ejfoundation.org/sites/default/files/public/Pirate%20Fishing%20Exposed.pdf

http://www.stopillegalfishing.com/sifnews_article.php?ID=71

http://en.inter-burgo.com/sub2/sub2_1_1.html

http://www.lloydslistintelligence.com/llint/vessels/overview.htm?vesselId=324666",,Seta 70,,Inter-Burgo Company Limited,,http://blacklist.greenpeace.org/1/vessel/show/221-seta-70,,9249001,Belize,,GreenpeaceBlacklist,"Korea, Republic of",DTBE9,"Between January and March 2011, EJF documented four vessels fishing illegally in the inshore areas near Sherbro Island in Sierra Leone: Medra, Marcia 707, 515 Amapola and Seta 70. All of the vessels are Korean-flagged and accredited to export their fish to the EU, though Medra has also been listed as flagged to Honduras. The vessels were responsible for causing extensive damage to local fishing equipment in the IEZ.",2002-09-09,46.04,"Korea, Republic of",Bottom Trawler
,,"Greenpeace
Reason for blacklisting: Carried an estimated 300 tonnes of illegal caught fish from Seta 70, Marcia 707, 
515 Amapola and Medra from Sierra Leone to Las Palmas. Total fine of US$200,000. 
Source of IUU information: http://www.lloydslistintelligence.com

http://ejfoundation.org/oceans/media/pirate-fishing-exposed

http://en.inter-burgo.com/sub2/sub2_1_1.html",,Seta No.73,,Inter-Burgo Company Limited,355676000,http://blacklist.greenpeace.org/1/vessel/show/220-seta-no73,,8217130,Japan,Lung Soon No.128,GreenpeaceBlacklist,Panama,3FJU8,"Posing as European fish traders, EJF initiated a dialogue with a man who confirmed himself to be the owner of Marcia 707. Through these communications, EJF was able to obtain the crucial piece of information that could enable the fish to be seized at a European port – the details of the refrigerated cargo vessel or “reefer” that Marcia 707 used to transport its illegal catch to port. During telephone conversations, the owner of Marcia 707 informed EJF investigators that Marcia 707 transferred its catch to the Panama-flagged Seta 73,a reefer that regularly makes the journey between Angola and Las Palmas, picking up fish at sea on its way, before offloading it into the European market. On Seta 73, authorities discovered boxes and catch certificates confirming that the vessel was carrying an estimated 300 tonnes of fish from Seta 70, Marcia 707, 515 Amapola and Medra. The whole of Seta 73’s cargo was seized, pending an investigation.",2007-07-15,83.93,"Korea, Republic of",Reefer
CT7-0470,,"Greenpeace
Reason for blacklisting: Fish laundering

Notes provide substantial evidence of covering up for illegal activity and engaging in fraud with respect to government documents",,Shang Jen 168,,,,http://blacklist.greenpeace.org/1/vessel/show/47-shang-jen-168,,,,,GreenpeaceBlacklist,Taiwan,,One of the 28 Large Scale Tuna Longline Fishing Vessels,,57.6,Taiwan,Longline
CT3-4511,,"Greenpeace
Reason for blacklisting: Palau created the world’s first so-named ""shark sanctuary"" on September 25, 2009. Palau forbids all commercial shark fishing within its Exclusive Economic Zone",,Sheng Chi Hui No.7,,"FANG, SHOEI-SHENQ",'492049292,http://blacklist.greenpeace.org/1/vessel/show/215-sheng-chi-hui-no7,,,,,GreenpeaceBlacklist,Taiwan,BK6511,"On the final day of a joint enforcement exercise with Palau’s patrol boat and Palauan police officials on board the Greenpeace ship Esperanza, the Sheng Chi Hui No 7 was spotted by helicopter hauling its longline. The vessel was licensed to fish in Palau's waters, but was not reporting via VMS, a violation of fishing regulations. Furthermore, a Palauan officer and a Greenpeace photographer documented allegedly finned shark carcasses onboard the vessel, a serious violation given the designation of Palau’s entire EEZ as a shark sanctuary where retaining and finning sharks is banned. Shark carcasses were not found on the vessel, although the photograph clearly showed finned sharks onboard",1986-12-31,22,Taiwan,Longliner
,,"Greenpeace
Reason for blacklisting: Illegal supply by reefer

The Shilla Hervester is a registered Purse Seiner to fish in the waters of Papua New Guinea",,Shilla Harvester,,Silla Co Ltd,440490000.0,http://blacklist.greenpeace.org/1/vessel/show/29-shilla-harvester,,8120533.0,,Sajo Gloria,GreenpeaceBlacklist,"Korea, Republic of",HLWO,"The Ji Sung was supplying salt and food stores to mainly South Korea flag purse seine fishing vessels licensed to fish in PNG’s EEZ. However, the Ji Sung was not authorized to conduct such activity. A further USD15,400 in compensation was obtained by the NFA from the Silla Co. Ltd. for failing to give sufficient notice of the re-provisioning of its purse seine vessel Shilla Harvester.",2000-01-01,67.5,"Korea, Republic of",Purse Seiner
CT7-0248,,"Greenpeace
Reason for blacklisting: Fish laundering

Notes provide substantial evidence of covering up for illegal activity and engaging in fraud with respect to government documents",,Shin Yeou 6,,Ko Wen Tan,,http://blacklist.greenpeace.org/1/vessel/show/46-shin-yeou-6,,No data,,,GreenpeaceBlacklist,Taiwan,BENH,One of the 28 Large Scale Tuna Longline Fishing Vessels,,50.0,Taiwan,Longline
